n1,n2
[3, 32],[3, 29]
[3, 29],[2, 4]
[2, 4],[1, 6]
[1, 6],[1, 9]
[5, 14],[3, 34]
[3, 34],[1, 27]
[5, 18],[4, 6]
[4, 6],[3, 1]
[3, 1],[2, 15]
[2, 15],[1, 17]
[1, 30],[1, 10]
[1, 10],[1, 9]
[1, 9],[1, 6]
[1, 6],[1, 5]
[1, 5],[2, 40]
[2, 40],[3, 42]
[3, 42],[3, 41]
[3, 41],[3, 40]
[3, 40],[3, 34]
[3, 34],[3, 21]
[3, 21],[3, 24]
[3, 24],[4, 29]
[4, 29],[4, 28]
[4, 28],[4, 17]
[4, 17],[4, 4]
[4, 4],[5, 64]
[1, 26],[1, 5]
[1, 5],[2, 40]
[2, 40],[2, 1]
[2, 1],[3, 42]
[3, 42],[3, 39]
[3, 39],[4, 28]
[4, 28],[4, 17]
[4, 17],[5, 66]
[5, 66],[6, 1]
[1, 5],[2, 40]
[2, 40],[2, 1]
[2, 1],[3, 40]
[3, 40],[3, 41]
[3, 41],[4, 2]
[4, 2],[5, 65]
[5, 65],[6, 1]
[1, 30],[1, 10]
[1, 10],[1, 5]
[1, 5],[2, 40]
[2, 40],[3, 41]
[3, 41],[3, 40]
[3, 40],[3, 21]
[3, 21],[4, 28]
[4, 28],[5, 63]
[5, 63],[6, 1]
[5, 64],[5, 17]
[5, 63],[5, 30]
[5, 65],[5, 30]
[5, 66],[5, 13]
[5, 6],[3, 33]
[5, 3],[3, 10]
[5, 1],[3, 13]
[5, 1],[3, 32]
[5, 4],[3, 32]
[5, 6],[3, 33]
[3, 33],[5, 5]
[5, 7],[3, 33]
[5, 7],[3, 32]
[3, 32],[2, 4]
[2, 4],[1, 9]
[2, 5],[2, 4]
[2, 4],[2, 7]
[1, 5],[2, 41]
[2, 41],[2, 40]
[2, 40],[5, 51]
[5, 51],[5, 59]
[5, 59],[5, 52]
[1, 9],[2, 4]
[2, 4],[5, 51]
[5, 51],[5, 52]
[5, 52],[5, 53]
[1, 17],[2, 15]
[2, 15],[3, 1]
[3, 1],[4, 6]
[4, 6],[5, 61]
[1, 26],[2, 40]
[2, 40],[5, 51]
[5, 51],[5, 53]
[5, 53],[5, 56]
[5, 56],[5, 59]
[1, 32],[2, 40]
[2, 40],[5, 51]
[5, 51],[5, 53]
[5, 53],[5, 59]
[1, 13],[2, 12]
[2, 12],[3, 16]
[3, 16],[5, 55]
[5, 55],[5, 61]
[2, 1],[5, 61]
[2, 36],[2, 35]
[2, 35],[5, 53]
[5, 53],[5, 59]
[5, 59],[5, 51]
[2, 37],[5, 61]
