1,2,3,0,4,5,6,0,7,8,9,0,10,11,12,0,13,14,15,16,17,18,19,0,20,21,22,23,0,24,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,28,0,29,30,31,32,33,34,0,35,36,37,0,38,39,40,41,42,43,44,45,46,0,47,48,49,50,0,51,52,53,0,54,55,56,57,58,0,59,60,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,63,64,65,66,67,68,69,0,70,71,72,73,0,74,75,76,77,78,0,79,80,81,82,83,0,84,85,86,87,0,88,89,90,91,92,93,0,94,95,96,97,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,100,101,102,0,103,104,105,106,107,108,109,110,111,112,0,113,114,0,115,116,117,118,119,120,121,0,122,123,124,0,125,126,127,0,128,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,131,132,133,134,135,136,137,0,138,139,140,141,142,143,144,145,0,146,147,148,149,150,151,152,153,154,155,156,157,0,158,159,160,161,162,163,164,165,166,0,167,168,169,170,171,172,173,174,0,175,176,177,178,179,180,181,182,183,184,185,0,186,187,188,189,190,191,0,192,193,194,195,196,197,198,0,199,200,201,202,203,204,205,206,207,208,209,210,
212,213,214,215,216,0,217,218,0,219,220,221,222,223,224,225,0,226,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
