142,5,14,UP,Embedded IA
143,5,15,UP,FPGA Codesign Prototyping
144,5,16,UP,VHDL Modeling and Synthesis
145,5,17,GP,EMBEDDED SYSTEMS
146,5,19,UP,Advanced Analog Circuit Design
147,5,20,UP,Application Specific Circuit Design
148,5,21,UP,Co-Design & Prototyping
149,5,22,UP,Processor Architecture
150,5,23,UP,VHDL Modeling & Synthesis
151,5,24,UP,Analog Circuit Design Introduction
152,5,25,UP,Digital Circuit Design
153,5,26,UP,Manufacturing Processes & Characterisation Methods
154,5,27,UP,Modeling & Characterization for Semiconductor Devices
155,5,28,UP,Semiconductor Devices
156,5,29,UP,Semiconductor Physics
157,5,30,GP,MICROELECTRONICS DESIGN
158,5,32,UP,Business Forum
159,5,33,UP,e-Recruitment
160,5,34,UP,Human Capital
161,5,35,UP,Practice of Employment Contract
162,5,36,UP,Recruitment Workshop
163,5,37,UP,Negotiation
164,5,38,UP,Professions overview
165,5,39,UP,Methodologie de l'Intervention en Entreprise
166,5,40,GP,ENGINEERING METHODS
167,5,42,UP,English
168,5,43,UP,Chinese
169,5,44,UP,French
170,5,45,UP,German
171,5,46,UP,Japanese
172,5,47,UP,Portuguese
173,5,48,UP,Spanish
174,5,49,GP,LANGUAGES
175,5,51,UP,Applications des Neurosciences
176,5,52,UP,Bio Diagnostic
177,5,53,UP,Biomecanique
178,5,54,UP,Cadre juridique des dispositifs medicaux
179,5,55,UP,Conception de dispositifs medicaux electroniques
180,5,56,UP,Imagerie Medicale
181,5,57,UP,Introduction a la Biologie
182,5,58,UP,Le marche du diagnostic medical
183,5,59,UP,Recherche en Bioelectronique
184,5,60,UP,Rencontre avec les entreprises
185,5,61,GP,BIO-MEDICAL DEVICES (BMD)
186,5,63,UP,Recoltes d'Energie et Sources Continues
187,5,64,UP,Alimentation d'Objets Autonomes
188,5,65,UP,Energies Renouvelables
189,5,66,UP,Antennes et Communications Basse Consommation
190,5,67,UP,Visites et seminaires
191,5,68,GP,ELECTRONICS AND ENERGY (E&E)
192,5,70,UP,Optimisation pour l'aide a la Decision
193,5,71,UP,e-Business et Bases de Donnees
194,5,72,UP,Planification de la Supply Chain
195,5,73,UP,Communication a courte portee
196,5,74,UP,Management de la Supply Chain
197,5,75,UP,Visites et Seminaires
198,5,76,GP,INFORMATION TECHNOLOGIES AND SUPPLY CHAIN (ITS)
199,5,78,UP,Attaques par injection de fautes des circuits securises 
200,5,79,UP,Biometrie
201,5,80,UP,Cryptographie
202,5,81,UP,Securite logicielle
203,5,82,UP,Securite materielle appliquee aux algos PK
204,5,83,UP,Tags RFID
205,5,84,UP,Securite Web et Reseaux
206,5,85,UP,Algorithmie pour la Cryptographie
207,5,86,UP,Cybersecurite de Windows
208,5,87,UP,Reseaux
209,5,88,UP,Attaques materielles contre un AES
210,5,89,UP,Droit sur la securite / Certification
